acc,stanford.acc,ID
AF514071,AF514071,NA
AF514072,AF514072,NA
AF514073,AF514073,NA
AF514074,AF514074,NA
AF514075,AF514075,NA
AF514076,AF514076,NA
AF514077,AF514077,NA
AF514078,AF514078,NA
AF514079,AF514079,NA
AF514080,AF514080,NA
AF514081,AF514081,NA
AF514082,AF514082,NA
AF514083,AF514083,NA
AF514084,AF514084,NA
AF514085,AF514085,NA
AF514086,AF514086,NA
AF514087,AF514087,NA
AF514088,AF514088,NA
AF514091,AF514091,NA
AF514092,AF514092,NA
AF514093,AF514093,NA
AF514094,AF514094,NA
AF514095,AF514095,NA
AF514096,AF514096,NA
AF514098,AF514098,NA
AF514099,AF514099,NA
AF514100,AF514100,NA
AF514101,AF514101,NA
AF514102,AF514102,NA
AF514103,AF514103,NA
AF514108,AF514108,NA
AF514109,AF514109,NA
AF514112,AF514112,NA
AF514113,AF514113,NA
AF514114,AF514114,NA
AF514115,AF514115,NA
AF514116,AF514116,NA
AF514117,AF514117,NA
AF514118,AF514118,NA
AF514119,AF514119,NA
AF514120,AF514120,NA
AF514121,AF514121,NA
AF514122,AF514122,NA
AF514123,AF514123,NA
AF514125,AF514125,NA
AF514126,AF514126,NA
AF514127,AF514127,NA
AF514129,AF514129,NA
AF514131,AF514131,NA
AF514132,AF514132,NA
AF514133,AF514133,NA
AF514134,AF514134,NA
AF514135,AF514135,NA
AF514136,AF514136,NA
AF514137,AF514137,NA
AF514139,AF514139,NA
AF514140,AF514140,NA
AF514141,AF514141,NA
AF514144,AF514144,NA
AF514147,AF514147,NA
AF514148,AF514148,NA
AF514151,AF514151,NA
AF514152,AF514152,NA
AF514154,AF514154,NA
AF514155,AF514155,NA
AF514156,AF514156,NA
AF514157,AF514157,NA
AF514158,AF514158,NA
AF514159,AF514159,NA
AF514160,AF514160,NA
AF514162,AF514162,NA
AF514163,AF514163,NA
AF514164,AF514164,NA
AF514165,AF514165,NA
AF514166,AF514166,NA
AF514168,AF514168,NA
AF514169,AF514169,NA
AF514170,AF514170,NA
AF514171,AF514171,NA
AF514174,AF514174,NA
AF514175,AF514175,NA
AF514176,AF514176,NA
AF514177,AF514177,NA
AF514180,AF514180,NA
AF514181,AF514181,NA
AF514182,AF514182,NA
AF514183,AF514183,NA
AF514184,AF514184,NA
AF514185,AF514185,NA
AF514187,AF514187,NA
AF514188,AF514188,NA
AF514190,AF514190,NA
AF514192,AF514192,NA
AF514193,AF514193,NA
AF514194,AF514194,NA
AF514195,AF514195,NA
AF514196,AF514196,NA
AF514197,AF514197,NA
AF514200,AF514200,NA
AF514201,AF514201,NA
AF514202,AF514202,NA
AF514203,AF514203,NA
AF514204,AF514204,NA
AF514205,AF514205,NA
AF514206,AF514206,NA
AF514207,AF514207,NA
AF514208,AF514208,NA
AF514209,AF514209,NA
AF514211,AF514211,NA
AF514213,AF514213,NA
AF514214,AF514214,NA
AF514215,AF514215,NA
AF514216,AF514216,NA
AF514218,AF514218,NA
AF514219,AF514219,NA
AF514221,AF514221,NA
AF514222,AF514222,NA
AF514223,AF514223,NA
AF514224,AF514224,NA
AF514225,AF514225,NA
AF514227,AF514227,NA
AF514228,AF514228,NA
AF514229,AF514229,NA
AF514230,AF514230,NA
AF514231,AF514231,NA
AF514232,AF514232,NA
AF514233,AF514233,NA
AF514234,AF514234,NA
AF514235,AF514235,NA
AF514236,AF514236,NA
AF514237,AF514237,NA
AF514238,AF514238,NA
AF514239,AF514239,NA
AF514242,AF514242,NA
AF514243,AF514243,NA
AF514244,AF514244,NA
AF514245,AF514245,NA
AF514246,AF514246,NA
AF514247,AF514247,NA
AF514248,AF514248,NA
AF514249,AF514249,NA
AF514250,AF514250,NA
AF514251,AF514251,NA
AF514254,AF514254,NA
AF514255,AF514255,NA
AF514257,AF514257,NA
AF514258,AF514258,NA
AF514259,AF514259,NA
AF514260,AF514260,NA
AF514261,AF514261,NA
AF514262,AF514262,NA
AF514263,AF514263,NA
AF514266,AF514266,NA
AF514267,AF514267,NA
AF514268,AF514268,NA
AF514270,AF514270,NA
AF514272,AF514272,NA
AF514274,AF514274,NA
AF514278,AF514278,NA
AF544425,AF544425,NA
AF544445,AF544445,NA
AF544456,AF544456,NA
AF544464,AF544464,NA
AF544467,AF544467,NA
AF544468,AF544468,NA
AF544469,AF544469,NA
AF544470,AF544470,NA
AF544471,AF544471,NA
AF544472,AF544472,NA
AF544473,AF544473,NA
AF544475,AF544475,NA
AF544477,AF544477,NA
AF544478,AF544478,NA
AF544479,AF544479,NA
AF544480,AF544480,NA
AF544481,AF544481,NA
AF544483,AF544483,NA
AF544484,AF544484,NA
AF544486,AF544486,NA
AF544487,AF544487,NA
AF544488,AF544488,NA
AF544489,AF544489,NA
AF544490,AF544490,NA
AF544491,AF544491,NA
AF544492,AF544492,NA
AF544493,AF544493,NA
AF544496,AF544496,NA
AF544497,AF544497,NA
AF544498,AF544498,NA
AF544499,AF544499,NA
AF544501,AF544501,NA
AF544502,AF544502,NA
AF544503,AF544503,NA
AF544504,AF544504,NA
AF544506,AF544506,NA
AF544509,AF544509,NA
AF544511,AF544511,NA
AF544512,AF544512,NA
AF544513,AF544513,NA
AF544514,AF544514,NA
AF544515,AF544515,NA
AF544516,AF544516,NA
AF544518,AF544518,NA
AF544519,AF544519,NA
AF544521,AF544521,NA
AF544522,AF544522,NA
AF544523,AF544523,NA
AF544524,AF544524,NA
AF544525,AF544525,NA
AF544526,AF544526,NA
AF544528,AF544528,NA
AF544529,AF544529,NA
AF544532,AF544532,NA
AF544533,AF544533,NA
AF544534,AF544534,NA
AF544535,AF544535,NA
AF544536,AF544536,NA
AF544537,AF544537,NA
AF544539,AF544539,NA
AF544540,AF544540,NA
AF544541,AF544541,NA
AF544542,AF544542,NA
AF544543,AF544543,NA
AF544544,AF544544,NA
AF544545,AF544545,NA
AF544546,AF544546,NA
AF544549,AF544549,NA
AF544550,AF544550,NA
AF544551,AF544551,NA
AF544552,AF544552,NA
AF544553,AF544553,NA
AF544554,AF544554,NA
AF544556,AF544556,NA
AF544557,AF544557,NA
AF544558,AF544558,NA
AF544561,AF544561,NA
AF544562,AF544562,NA
AF544563,AF544563,NA
AF544564,AF544564,NA
AF544565,AF544565,NA
AF544566,AF544566,NA
AF544567,AF544567,NA
AF544568,AF544568,NA
AF544569,AF544569,NA
AF544571,AF544571,NA
AF544572,AF544572,NA
AF544573,AF544573,NA
AF544574,AF544574,NA
AF544575,AF544575,NA
AF544576,AF544576,NA
AF544578,AF544578,NA
AF544579,AF544579,NA
AF544581,AF544581,NA
AF544582,AF544582,NA
AF544583,AF544583,NA
AF544584,AF544584,NA
AF544586,AF544586,NA
AF544587,AF544587,NA
AF544588,AF544588,NA
AF544589,AF544589,NA
AF544590,AF544590,NA
AF544591,AF544591,NA
AF544592,AF544592,NA
AF544593,AF544593,NA
AF544594,AF544594,NA
