ID1,ID2,Distance
57514,61648,0.01154
57465,82297,0.0093313
70644,42174,0.00337665
57465,82293,0.00421425
70678,113004,0.00927417
70644,39282,0.00421482
70644,61638,0.00336682
70644,70456,0.00421152
70678,23907,0.00928345
70678,37946,0.0127
70678,42141,0.00757823
70644,75720,0.00590168
70678,25180,0.0101453
70678,42026,0.00926437
70678,56131,0.0144597
70644,56140,0.00506371
70644,61576,0.00933261
70678,113002,0.0109764
70678,197691,0.0143698
70678,39203,0.00926461
70678,70693,0.0135391
70644,37899,0.0042115
70678,80041,0.00335116
70678,27766,0.0109756
70644,35529,0.00336681
70678,175343,0.0143948
70644,75707,0.00590895
70678,42157,0.0109643
70644,26252,0.00336681
70644,61476,0.00675554
70678,27964,0.0109652
70644,27823,0.0042115
70678,27741,0.0126811
39113,42034,0.00842345
70678,61681,0.0135207
57465,112964,0.00420961
70678,80035,0.00419357
70644,119730,0.0136016
57465,61522,0.00167602
70678,61705,0.0126855
70678,80030,0.00251127
70678,80042,0.0075677
70678,175946,0.0101184
57465,57333,0.000836714
57465,70487,0.00251326
70717,55885,0.00422049
57523,27973,0.0115313
70713,42067,0.0127821
42657,82177,0.0141094
42657,127298,0.00728783
70741,16299,0.005044
101544,112909,0.00421546
21102,14482,0.0141536
70741,23846,0.00503129
35492,70515,0.0118535
101544,112832,0.000840454
21102,35567,0.0109339
70741,57445,0.010964
21102,175523,0.0132232
75674,17709,0.0118096
21102,18353,0.0102786
21102,14674,0.014195
42137,57449,0.00419039
21102,39243,0.0132067
21102,57515,0.0142049
101544,55885,0.0118767
101544,175157,0.00933284
21102,16086,0.0142063
101544,90623,0.0144609
101544,101625,0.00760205
75808,101534,0.00506091
37990,175767,0.0110743
37990,175529,0.0119418
75808,61752,0
112968,23899,0.0136358
23804,39194,0.00589404
112968,16333,0.0136329
80017,75696,0
61744,175214,0.0126801
42160,70736,0.00588732
61744,61640,0.0126636
113003,138916,0.0135286
79976,17655,0.00167308
79976,57332,0.00587595
80018,61501,0
80033,30059,0.0033513
70635,25012,0.0109631
80033,119743,0.0118695
101722,175292,0.00847725
70635,27761,0.0144043
70635,61648,0.0135206
79986,70478,0.00505881
101722,80128,0.0101985
80054,119674,0.00675187
80054,90647,0.000835981
23882,20996,0.00593582
42638,56050,0.00672601
55927,16112,0.00253189
80123,39177,0.0136118
80123,56127,0.00675635
80123,56142,0.00590574
80123,57315,0.0118161
75769,14265,0.0126496
80123,55977,0.0143964
80123,16194,0.0101425
80123,23784,0.0101463
139008,90686,0.00847435
80123,35614,0.00672226
80123,39252,0.0135431
55965,30300,0.00675558
80126,61686,0.00506597
80153,57441,0.00762835
23899,16333,0.00167748
112909,112832,0.00505277
23899,4498,0.00505293
112909,90732,0.0144878
112909,55885,0.0109865
112909,175157,0.0118962
112909,90623,0.0126922
112909,101625,0.00843331
139062,30112,0.0144627
127308,127398,0.00843928
80107,30128,0
80107,56025,0.0127128
80107,75797,0.00674281
80107,61535,0.00589577
127308,22127,0.0101563
80107,55958,0.00677753
80107,127405,0.00505936
80107,90658,0.00168153
80107,16201,0.0101583
80107,27839,0.00505981
80107,38087,0.00760253
80107,57514,0.00223954
80107,70635,0.00674288
82187,27897,0.0109612
79994,197680,0.0143693
80107,101787,0.0084689
80107,101799,0.00850429
79994,61697,0.0101811
82188,80018,0.00251484
80107,25012,0.00420935
80107,138958,0.0110023
79994,80174,0.0118089
80107,139039,0.0118532
80107,25575,0.00928582
80107,27761,0.00591622
80107,61648,0.00758714
79994,61553,0.0118086
80107,138902,0.0110059
82375,101800,0.011004
139160,90632,0.00587945
82188,61501,0.00335407
82375,42623,0.00421084
82375,61587,0.00503071
139160,101739,0.00503064
82375,82199,0.00760168
82375,90499,0.00503071
82375,90514,0.00672068
82375,112847,0.00844734
119725,175668,0.0141078
82375,175485,0.0110193
82375,112821,0.00588915
82375,127337,0.00842616
82375,57334,0.00925587
82375,80039,0.00418967
82252,80136,0.00421431
82197,75748,0.013575
82375,80073,0.00420124
82375,80169,0.00672158
82375,82344,0.00587434
82375,101777,0.00671787
82197,14298,0.00933885
17652,75678,0.014482
17652,70651,0.0135363
17652,37894,0.0135446
82252,90690,0.0050355
82197,30224,0.00931177
17652,16374,0.00769178
25091,25113,0.00672693
90505,90556,0.00504048
17652,16304,0.0145328
57555,175029,0.0135391
57555,101674,0.00927877
57555,175397,0.0135467
57555,30269,0.0025176
90505,175833,0.00928424
57555,39126,0.00589519
138940,61620,0.0127553
57555,112888,0.0144044
57555,112994,0.00927972
57555,70703,0.00928394
57555,112923,0.0118311
57555,112996,0.0135409
139205,57532,0.0144761
75835,23891,0.0143996
75835,16206,0.0126539
80144,82221,0.00251794
90556,175833,0.0118407
174975,175815,0.0135647
174975,38001,0.0118945
174975,127344,0.0135958
174975,112991,0.0118416
90527,61677,0.0107111
174981,175780,0.00761115
90527,57478,0.0123989
90622,25582,0.00928752
139055,30135,0.00756415
139055,39206,0.00673877
139055,119728,0.00841321
174981,27948,0.0127481
139055,75753,0.0118373
139055,56144,0.0118828
139055,42179,0.0115337
174981,90482,0.00846615
82250,30157,0.00335497
139055,25595,0.00758332
139055,70670,0.0136027
139055,37974,0.0118218
139055,42024,0.00927568
139055,57385,0.0136329
82273,82264,0.00590285
139055,70678,0.0126822
139055,23907,0.0101334
139055,37946,0.011822
90559,175757,0.00503326
139055,42141,0.00927497
139055,25180,0.00928066
139055,42026,0.00841128
139055,197691,0.0118039
139055,39203,0.0109643
139055,70693,0.0144128
139055,27766,0.0135457
139055,42157,0.00926018
139055,57468,0.0144136
90678,175699,0.00423295
90678,119644,0.00168663
139055,27964,0.0118239
139055,27741,0.0118121
139055,61705,0.0135629
139055,80030,0.0126823
82174,80097,0.00590389
90732,90623,0.0016886
175074,90746,0
90515,42166,0.00503069
90515,55891,0.00587209
90515,90471,0.00167748
